Student_ID,Preferences
1,"8,4,7,6"
2,"10,3,9,8"
3,"9,7,5,8,1"
4,"6,8,2"
5,"5,6,9,7"
6,"7,3,5,2,9"
7,"1,7,8"
8,"10,6,9,4,5"
9,"5,1,3,10,4"
10,"8,4,6,2"
11,"3,5,6,2,9"
12,"4,9,3,8,1"
13,"10,4,1,5,6"
14,"9,7,3"
15,"2,4,7,8,5"
16,"7,9,10"
17,"5,2,6"
18,"9,6,10"
19,"4,3,7,6,5"
20,"3,8,4,10"
21,"4,5,8,9"
22,"5,2,7"
23,"8,4,5,9"
24,"6,7,8,9,1"
25,"7,2,3,8"
26,"7,6,1,2"
27,"10,3,4,9,1"
28,"4,6,10,3"
29,"5,1,7"
30,"7,1,5"
31,"7,6,10"
32,"5,4,1,7,2"
33,"4,5,9"
34,"6,8,5,4"
35,"1,3,9,4,10"
36,"10,6,1"
37,"2,3,8,9,10"
38,"4,9,1,3,10"
39,"8,10,6"
40,"4,1,10,5,8"
41,"2,10,4,5"
42,"10,6,3"
43,"9,5,8"
44,"2,3,1,4,5"
45,"6,3,5,2,10"
46,"8,10,5"
47,"3,10,8,2,1"
48,"2,7,10,1,5"
49,"3,5,8,6,10"
50,"2,1,5"
51,"1,7,6,5"
52,"5,2,3,6,10"
53,"3,2,4,8,9"
54,"10,6,5,8"
55,"4,2,5,6,9"
56,"6,2,5"
57,"2,10,1"
58,"9,1,4"
59,"5,1,3,7"
60,"6,3,10,8,4"
61,"2,3,10,8,9"
62,"9,2,3"
63,"1,3,4,8,5"
64,"1,8,7,9"
65,"9,7,1,10"
66,"10,9,7,5,4"
67,"5,4,9,6"
68,"5,2,7"
69,"5,7,4,9,6"
70,"8,3,10"
71,"1,10,9"
72,"3,10,5,2"
73,"5,1,4"
74,"8,7,2"
75,"3,1,2,8"
76,"4,6,7,3,2"
77,"9,2,4,3,8"
78,"8,2,4,9"
79,"9,7,2,10,6"
80,"4,7,6,9"
81,"8,2,3"
82,"7,8,5,3"
83,"2,5,8,10"
84,"6,9,1,8,10"
85,"9,10,5,8,6"
86,"10,4,6,8,9"
87,"3,2,4,9"
88,"6,5,1,4,8"
89,"2,5,10"
90,"6,2,7,5,9"
91,"9,4,1"
92,"3,4,9,10"
93,"9,2,8,3,6"
94,"9,3,8,10,7"
95,"5,3,10"
96,"9,6,5,7,3"
97,"10,1,2,9,5"
98,"3,4,5"
99,"9,1,7"
100,"4,5,2,9,6"
